"","Journal","Rank","Source","IF"
"447","Adamantius","A","ERA",NA
"448","Adansonia","C","ERA",0.519
"449","Adapted Physical Activity Quarterly","C","ERA",1.462
"450","Adaptive Behavior: animals, animats, software agents, robots, adaptive systems","A","ERA",NA
"451","Addiction","A","ERA",6.343
"452","Addiction","A","ERA",6.343
"453","Addiction Biology","A","ERA",4.121
"454","Addiction Research and Theory","B","ERA",2.223
"455","Addiction Science and Clinical Practice","C","ERA",3.088
"456","Addiction Science and Clinical Practice","C","ERA",3.088
"457","Addictive Behaviors","B","ERA",3.645
"458","Addictive Behaviors","B","ERA",3.645
"459","Addictive Disorders and Their Treatment","C","ERA",NA
"460","Adelaide Law Review","B","ERA",NA
"461","Aden (GIEN: Groupe Interdisciplinaire d'études nizaniennes)","C","ERA",NA
"462","ADF Health","C","ERA",NA
"463","Adhesives Age","C","ERA",NA
"464","Adicciones","C","ERA",NA
"465","Administration and Policy in Mental Health and Mental Health Services Research","C","ERA",2.313
"466","Administration and Society","A","ERA",1.564
"467","Administration in Social Work: the quarterly journal of human services management","B","ERA",NA
"468","Administrative Law Review","B","ERA",2.059
"469","Administrative Science Quarterly","A+","ERA",8.391
"470","Administrative Theory and Praxis: a quarterly journal of dialogue in public administration theory","B","ERA",NA
"471","Adolescence","C","ERA",NA
"472","Adolescent Medicine: State of the Art Reviews","C","ERA",NA
"473","Adoption and Fostering","C","ERA",NA
"474","Adoption Quarterly","C","ERA",NA
"475","Adsorption","A","ERA",NA
"476","Adsorption Science and Technology","B","ERA",2.425
"477","Adult Basic Education and Literacy Journal","B","ERA",NA
"478","Adult Education Quarterly: a journal of research and theory","A","ERA",NA
"479","Adultspan Journal","C","ERA",NA
"480","Adumatu: a semi-annual archaeological refereed journal on the Arab World","B","ERA",NA
"481","Advance for Physician Assistants","C","ERA",NA
"482","Advanced Composite Materials","C","ERA",1.881
"483","Advanced Composites Letters","C","ERA",0.517
"484","Advanced Drug Delivery Reviews","A+","ERA",13.3
"485","Advanced Emergency Nursing Journal","B","ERA",NA
"486","Advanced Engineering Informatics: the science of supporting knowledge-intensive activities","B","ERA",NA
"487","Advanced Engineering Materials","A","ERA",3.217
"488","Advanced Functional Materials","A+","ERA",16.836
"489","Advanced Materials","A+","ERA",27.398
"490","Advanced Materials Research","B","ERA",NA
